Law ID,state,FIPS Code,Law Class (num),Law Class,Law Class Subtype,Handguns or Long Guns,Effect,Type of Change
RI1030,Rhode Island,44,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement
RI1031,Rhode Island,44,7,minimum age,youth possession,handgun,Restrictive,Implement
RI1032,Rhode Island,44,7,minimum age,youth possession,handgun,Restrictive,Modify
RI1033,Rhode Island,44,7,minimum age,purchase and sale,handgun,Restrictive,Implement
RI1034,Rhode Island,44,1,background checks,permit to purchase,handgun,Restrictive,Implement
RI1036,Rhode Island,44,10,prohibited possessor,dvro : expanded : discretionary : discretionary surrender,handgun and long gun,Restrictive,Implement
RI1037,Rhode Island,44,10,prohibited possessor,erpo,handgun and long gun,Restrictive,Implement
RI1038,Rhode Island,44,10,prohibited possessor,erpo : ex parte,handgun and long gun,Restrictive,Implement
RI1039,Rhode Island,44,12,safety training required,to purchase,handgun,,
RI1040,Rhode Island,44,12,safety training required,to purchase,handgun,Restrictive,Implement
RI1041,Rhode Island,44,10,prohibited possessor,erpo,handgun and long gun,,
RI1042,Rhode Island,44,10,prohibited possessor,dvro,handgun and long gun,,
RI1043,Rhode Island,44,12,safety training required,,long gun,,
RI1044,Rhode Island,44,10,prohibited possessor,dvro : expanded,handgun and long gun,Restrictive,Modify
RI1045,Rhode Island,44,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
RI1046,Rhode Island,44,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
RI1047,Rhode Island,44,6,firearm sales restrictions,,handgun and long gun,,
RI1048,Rhode Island,44,9,permit to purchase,,handgun,,
RI1049,Rhode Island,44,9,permit to purchase,,long gun,,
RI1050,Rhode Island,44,8,open carry,not restricted,long gun,,
RI1051,Rhode Island,44,14,firearm removal at scene of domestic violence,,handgun and long gun,,
RI1052,Rhode Island,44,13,firearms in college/university,,handgun and long gun,,
RI1053,Rhode Island,44,12,local laws preempted by state,,handgun and long gun,,
RI1054,Rhode Island,44,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
RI1055,Rhode Island,44,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
RI1056,Rhode Island,44,11,required reporting of lost or stolen firearms,,handgun and long gun,,
RI1057,Rhode Island,44,11,required reporting of lost or stolen firearms,lost and stolen firearms,handgun,Restrictive,Implement
RI1058,Rhode Island,44,11,required reporting of lost or stolen firearms,lost and stolen firearms,long gun,Restrictive,Implement
SC1001,South Carolina,45,1,background checks,private sales,handgun,,
SC1002,South Carolina,45,1,background checks,sales from dealer,handgun,,
SC1003,South Carolina,45,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Modify
SC1004,South Carolina,45,2,carrying a concealed weapon (ccw),prohibited,handgun,Restrictive,Implement
SC1005,South Carolina,45,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
SC1006,South Carolina,45,3,castle doctrine,,handgun and long gun,Permissive,Implement
SC1007,South Carolina,45,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
SC1008,South Carolina,45,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
SC1009,South Carolina,45,4,child access laws,negligent storage,handgun and long gun,,
SC1010,South Carolina,45,5,dealer license,,handgun,Restrictive,Implement
SC1011,South Carolina,45,5,dealer license,,handgun,Permissive,Repeal
SC1012,South Carolina,45,5,dealer license,,long gun,,
SC1013,South Carolina,45,6,firearm sales restrictions,saturday night special ban,handgun,Permissive,Repeal
SC1014,South Carolina,45,1,background checks,sales from dealer,long gun,,
SC1015,South Carolina,45,1,background checks,private sales,long gun,,
SC1016,South Carolina,45,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Implement
SC1017,South Carolina,45,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement
SC1018,South Carolina,45,10,prohibited possessor,dvro : discretionary,handgun and long gun,Restrictive,Implement
SC1019,South Carolina,45,12,safety training required,,handgun,,
SC1020,South Carolina,45,10,prohibited possessor,erpo,handgun and long gun,,
SC1021,South Carolina,45,10,prohibited possessor,dvro,handgun and long gun,,
SC1022,South Carolina,45,12,safety training required,,long gun,,
SC1023,South Carolina,45,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
SC1024,South Carolina,45,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
SC1025,South Carolina,45,6,firearm sales restrictions,saturday night special ban,handgun,Restrictive,Implement
SC1026,South Carolina,45,9,permit to purchase,,handgun,,
SC1027,South Carolina,45,9,permit to purchase,,long gun,,
SC1028,South Carolina,45,7,minimum age,youth possession,handgun,Restrictive,Implement
SC1029,South Carolina,45,7,minimum age,youth possession,handgun,Permissive,Modify
SC1030,South Carolina,45,7,minimum age,youth possession,long gun,,
SC1031,South Carolina,45,7,minimum age,purchase and sale,handgun,Restrictive,Implement
SC1032,South Carolina,45,7,minimum age,purchase and sale,handgun,Permissive,Modify
SC1033,South Carolina,45,7,minimum age,purchase and sale,long gun,,
SC1034,South Carolina,45,14,firearm removal at scene of domestic violence,,handgun and long gun,,
SC1035,South Carolina,45,13,firearms in college/university,public and private : CCW not allowed,handgun,Restrictive,Implement
SC1036,South Carolina,45,13,firearms in college/university,public and private : possession prohibited,handgun,Restrictive,Implement
SC1037,South Carolina,45,13,firearms in college/university,public and private : possession prohibited,long gun,Restrictive,Implement
SC1038,South Carolina,45,12,local laws preempted by state,,handgun and long gun,,
SC1039,South Carolina,45,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
SC1040,South Carolina,45,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
SC1041,South Carolina,45,11,required reporting of lost or stolen firearms,,handgun and long gun,,
SD1001,South Dakota,46,1,background checks,private sales,handgun,,
SD1002,South Dakota,46,1,background checks,sales from dealer,handgun,,
SD1003,South Dakota,46,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Implement
SD1004,South Dakota,46,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
SD1005,South Dakota,46,3,castle doctrine,,handgun and long gun,Permissive,Implement
SD1006,South Dakota,46,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
SD1007,South Dakota,46,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
SD1008,South Dakota,46,4,child access laws,negligent storage,handgun and long gun,,
SD1009,South Dakota,46,7,minimum age,youth possession,handgun,Restrictive,Implement
SD1010,South Dakota,46,7,minimum age,youth possession,handgun,,
SD1011,South Dakota,46,7,minimum age,purchase and sale,handgun,,
SD1013,South Dakota,46,8,open carry,not restricted,long gun,,
SD1014,South Dakota,46,11,registration,,handgun,,
SD1015,South Dakota,46,13,waiting period,,handgun,Restrictive,Implement
SD1016,South Dakota,46,13,waiting period,,handgun,Permissive,Repeal
SD1017,South Dakota,46,13,waiting period,,long gun,,
SD1018,South Dakota,46,1,background checks,sales from dealer,long gun,,
SD1019,South Dakota,46,1,background checks,private sales,long gun,,
SD1020,South Dakota,46,11,registration,,long gun,,
SD1021,South Dakota,46,4,child access laws,negligent storage,handgun and long gun,,
SD1022,South Dakota,46,7,minimum age,purchase and sale,long gun,,
SD1023,South Dakota,46,10,prohibited possessor,dvro : expanded : discretionary surrender,handgun and long gun,Restrictive,Implement
SD1024,South Dakota,46,12,safety training required,,handgun,,
SD1025,South Dakota,46,10,prohibited possessor,erpo,handgun and long gun,,
SD1026,South Dakota,46,10,prohibited possessor,dvro,handgun and long gun,,
SD1027,South Dakota,46,2,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,Permissive,Modify
SD1028,South Dakota,46,12,safety training required,,long gun,,
SD1029,South Dakota,46,7,minimum age,youth possession,long gun,,
SD1030,South Dakota,46,10,prohibited possessor,mental health,handgun and long gun,,
SD1031,South Dakota,46,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
SD1032,South Dakota,46,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
SD1033,South Dakota,46,8,open carry,not restricted,handgun,,
SD1034,South Dakota,46,6,firearm sales restrictions,,handgun and long gun,,
SD1035,South Dakota,46,9,permit to purchase,,handgun,,
SD1036,South Dakota,46,9,permit to purchase,,long gun,,
SD1037,South Dakota,46,14,firearm removal at scene of domestic violence,,handgun and long gun,,
SD1038,South Dakota,46,13,firearms in college/university,,handgun and long gun,,
SD1039,South Dakota,46,12,local laws preempted by state,,handgun and long gun,,
SD1040,South Dakota,46,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
SD1041,South Dakota,46,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
SD1042,South Dakota,46,11,required reporting of lost or stolen firearms,,handgun and long gun,,
TN1001,Tennessee,47,1,background checks,private sales,handgun,Restrictive,Implement
TN1002,Tennessee,47,1,background checks,private sales,handgun,Permissive,Repeal
TN1003,Tennessee,47,1,background checks,private sales,handgun,,
TN1004,Tennessee,47,1,background checks,sales from dealer,handgun,Restrictive,Implement
TN1005,Tennessee,47,1,background checks,sales from dealer,handgun,Permissive,Modify
TN1006,Tennessee,47,1,background checks,sales from dealer,long gun,Restrictive,Implement
TN1007,Tennessee,47,1,background checks,sales from dealer,long gun,,
TN1008,Tennessee,47,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Modify
TN1009,Tennessee,47,2,carrying a concealed weapon (ccw),prohibited,handgun,Restrictive,Implement
TN1010,Tennessee,47,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
TN1011,Tennessee,47,3,castle doctrine,,handgun and long gun,Permissive,Modify
TN1012,Tennessee,47,3,castle doctrine,,handgun and long gun,Permissive,Implement
TN1013,Tennessee,47,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
TN1014,Tennessee,47,4,child access laws,negligent storage,handgun and long gun,,
TN1015,Tennessee,47,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,Restrictive,Implement
TN1016,Tennessee,47,5,dealer license,,handgun,Permissive,Implement
TN1017,Tennessee,47,7,minimum age,youth possession,handgun,,
TN1018,Tennessee,47,7,minimum age,purchase and sale,long gun,Restrictive,Implement
TN1019,Tennessee,47,7,minimum age,purchase and sale,handgun,,
TN1021,Tennessee,47,8,open carry,license required,handgun,Permissive,Implement
TN1022,Tennessee,47,8,open carry,not restricted,long gun,,
TN1023,Tennessee,47,8,open carry,limited : prohibited : loaded,long gun,Restrictive,Implement
TN1024,Tennessee,47,11,registration,,handgun,,
TN1025,Tennessee,47,11,registration,,long gun,,
TN1026,Tennessee,47,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
TN1027,Tennessee,47,5,dealer license,,long gun,,
TN1028,Tennessee,47,7,minimum age,purchase and sale,handgun,Restrictive,Implement
TN1029,Tennessee,47,7,minimum age,purchase and sale,long gun,,
TN1030,Tennessee,47,13,waiting period,,long gun,,
TN1031,Tennessee,47,13,waiting period,,handgun,Restrictive,Implement
TN1032,Tennessee,47,13,waiting period,,handgun,Restrictive,Modify
TN1033,Tennessee,47,13,waiting period,,handgun,Permissive,Repeal
TN1034,Tennessee,47,10,prohibited possessor,dvro : expanded : surrender,handgun and long gun,Restrictive,Implement
TN1035,Tennessee,47,10,prohibited possessor,erpo,handgun and long gun,,
TN1036,Tennessee,47,10,prohibited possessor,dvro,handgun and long gun,,
TN1037,Tennessee,47,7,minimum age,youth possession,long gun,,
TN1038,Tennessee,47,10,prohibited possessor,mental health,handgun and long gun,,
TN1039,Tennessee,47,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
TN1040,Tennessee,47,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
TN1041,Tennessee,47,8,open carry,not restricted,handgun,,
TN1042,Tennessee,47,6,firearm sales restrictions,,handgun and long gun,,
TN1043,Tennessee,47,9,permit to purchase,,handgun,,
TN1044,Tennessee,47,9,permit to purchase,,long gun,,
TN1045,Tennessee,47,14,firearm removal at scene of domestic violence,required,handgun and long gun,Restrictive,Implement
TN1046,Tennessee,47,13,firearms in college/university,,handgun and long gun,,
TN1047,Tennessee,47,13,firearms in college/university,public and private : possession prohibited,long gun,Restrictive,Implement
TN1048,Tennessee,47,13,firearms in college/university,public and private : CCW not allowed,handgun,Restrictive,Implement
TN1049,Tennessee,47,13,firearms in college/university,public and private : possession prohibited,handgun,Restrictive,Implement
TN1050,Tennessee,47,12,local laws preempted by state,,handgun and long gun,,
TN1051,Tennessee,47,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
TN1052,Tennessee,47,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
TN1053,Tennessee,47,11,required reporting of lost or stolen firearms,,handgun and long gun,,
TX1001,Texas,48,1,background checks,private sales,handgun,,
TX1002,Texas,48,1,background checks,sales from dealer,handgun,,
TX1003,Texas,48,2,carrying a concealed weapon (ccw),prohibited,handgun,Restrictive,Implement
TX1004,Texas,48,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
TX1005,Texas,48,3,castle doctrine,,handgun and long gun,Permissive,Modify
TX1006,Texas,48,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
TX1007,Texas,48,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
TX1008,Texas,48,4,child access laws,negligent storage,handgun and long gun,Restrictive,Implement
TX1009,Texas,48,5,dealer license,,handgun,,
TX1010,Texas,48,7,minimum age,youth possession,handgun,,
TX1011,Texas,48,7,minimum age,purchase and sale,long gun,Restrictive,Implement
TX1013,Texas,48,8,open carry,license required,handgun,Permissive,Modify
TX1014,Texas,48,8,open carry,prohibited,handgun,Permissive,Implement
TX1015,Texas,48,11,registration,,handgun,,
TX1016,Texas,48,13,waiting period,,handgun,,
TX1017,Texas,48,1,background checks,private sales,long gun,,
TX1018,Texas,48,1,background checks,sales from dealer,long gun,,
TX1019,Texas,48,4,child access laws,negligent storage,handgun and long gun,,
TX1020,Texas,48,11,registration,,long gun,,
TX1021,Texas,48,5,dealer license,,long gun,,
TX1022,Texas,48,7,minimum age,purchase and sale,handgun,Restrictive,Implement
TX1023,Texas,48,13,waiting period,,long gun,,
TX1024,Texas,48,10,prohibited possessor,dvro,handgun and long gun,Restrictive,Implement
TX1025,Texas,48,10,prohibited possessor,dvro : expanded,handgun and long gun,Restrictive,Modify
TX1026,Texas,48,10,prohibited possessor,dvro : ex parte,handgun and long gun,Restrictive,Implement
TX1027,Texas,48,12,safety training required,,handgun,,
TX1028,Texas,48,10,prohibited possessor,erpo,handgun and long gun,,
TX1029,Texas,48,10,prohibited possessor,dvro,handgun and long gun,,
TX1030,Texas,48,12,safety training required,,long gun,,
TX1031,Texas,48,7,minimum age,youth possession,long gun,,
TX1032,Texas,48,10,prohibited possessor,mental health,handgun and long gun,,
TX1033,Texas,48,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
TX1034,Texas,48,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
TX1035,Texas,48,8,open carry,not restricted,long gun,,
TX1036,Texas,48,6,firearm sales restrictions,,handgun and long gun,,
TX1037,Texas,48,9,permit to purchase,,handgun,,
TX1038,Texas,48,9,permit to purchase,,long gun,,
TX1039,Texas,48,3,castle doctrine,,handgun and long gun,Permissive,Implement
TX1040,Texas,48,13,waiting period,federal,handgun,Restrictive,Implement
TX1041,Texas,48,13,waiting period,federal,handgun,Permissive,Repeal
TX1042,Texas,48,14,firearm removal at scene of domestic violence,,handgun and long gun,,
TX1043,Texas,48,13,firearms in college/university,Public : CCW allowed,handgun,Permissive,Implement
TX1044,Texas,48,13,firearms in college/university,public and private : possession prohibited,handgun,Restrictive,Implement
TX1045,Texas,48,13,firearms in college/university,public and private : possession prohibited,long gun,Restrictive,Implement
TX1046,Texas,48,12,local laws preempted by state,,handgun and long gun,,
TX1047,Texas,48,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
TX1048,Texas,48,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
TX1049,Texas,48,11,required reporting of lost or stolen firearms,,handgun and long gun,,
UT1001,Utah,49,1,background checks,private sales,handgun,,
UT1002,Utah,49,1,background checks,sales from dealer,handgun,Restrictive,Implement
UT1003,Utah,49,1,background checks,sales from dealer,handgun,,
UT1004,Utah,49,1,background checks,sales from dealer,long gun,Restrictive,Implement
UT1005,Utah,49,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Implement
UT1006,Utah,49,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
UT1007,Utah,49,3,castle doctrine,,handgun and long gun,Permissive,Modify
UT1008,Utah,49,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
UT1009,Utah,49,4,child access laws,negligent storage,handgun and long gun,,
UT1010,Utah,49,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,Restrictive,Implement
UT1011,Utah,49,5,dealer license,,handgun,,
UT1013,Utah,49,7,minimum age,youth possession,long gun,Restrictive,Implement
UT1014,Utah,49,7,minimum age,purchase and sale,long gun,Permissive,Implement
UT1015,Utah,49,7,minimum age,purchase and sale,handgun,,
UT1020,Utah,49,8,open carry,limited : prohibited : loaded,handgun,Restrictive,Implement
UT1021,Utah,49,8,open carry,license required,handgun,Permissive,Modify
UT1022,Utah,49,11,registration,,handgun,,
UT1025,Utah,49,1,background checks,state version of Brady requirements,handgun,Restrictive,Implement
UT1026,Utah,49,13,waiting period,,handgun,,
UT1027,Utah,49,13,waiting period,,long gun,,
UT1028,Utah,49,1,background checks,private sales,long gun,,
UT1029,Utah,49,1,background checks,sales from dealer,long gun,,
UT1030,Utah,49,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
UT1031,Utah,49,11,registration,,long gun,,
UT1032,Utah,49,5,dealer license,,long gun,,
UT1033,Utah,49,7,minimum age,youth possession,handgun,Restrictive,Implement
UT1034,Utah,49,7,minimum age,purchase and sale,handgun,Permissive,Implement
UT1035,Utah,49,7,minimum age,purchase and sale,long gun,,
UT1036,Utah,49,10,prohibited possessor,dvro : discretionary,handgun and long gun,Restrictive,Implement
UT1037,Utah,49,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Implement
UT1038,Utah,49,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement
UT1039,Utah,49,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement
UT1040,Utah,49,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Permissive,Repeal
UT1041,Utah,49,10,prohibited possessor,dvro : ex parte : expanded : discretionary,handgun and long gun,Restrictive,Implement
UT1042,Utah,49,10,prohibited possessor,dvro : expanded,handgun and long gun,Restrictive,Implement
UT1043,Utah,49,12,safety training required,,handgun,,
UT1044,Utah,49,10,prohibited possessor,erpo,handgun and long gun,,
UT1045,Utah,49,10,prohibited possessor,dvro,handgun and long gun,,
UT1046,Utah,49,8,open carry,prohibited,long gun,Restrictive,Implement
UT1047,Utah,49,12,safety training required,,long gun,,
UT1048,Utah,49,10,prohibited possessor,mental health,handgun and long gun,,
UT1049,Utah,49,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
UT1050,Utah,49,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
UT1051,Utah,49,6,firearm sales restrictions,,handgun and long gun,,
UT1052,Utah,49,9,permit to purchase,,handgun,,
UT1053,Utah,49,9,permit to purchase,,long gun,,
UT1054,Utah,49,3,castle doctrine,,handgun and long gun,Permissive,Implement
UT1055,Utah,49,14,firearm removal at scene of domestic violence,required,handgun and long gun,Restrictive,Implement
UT1056,Utah,49,13,firearms in college/university,,handgun and long gun,,
UT1057,Utah,49,13,firearms in college/university,Public : CCW allowed,handgun,Permissive,Implement
UT1058,Utah,49,13,firearms in college/university,public and private : possession prohibited,handgun,Restrictive,Implement
UT1059,Utah,49,13,firearms in college/university,public and private : possession prohibited,long gun,Restrictive,Implement
UT1060,Utah,49,12,local laws preempted by state,,handgun and long gun,,
UT1061,Utah,49,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
UT1062,Utah,49,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
UT1063,Utah,49,11,required reporting of lost or stolen firearms,,handgun and long gun,,
VT1001,Vermont,50,1,background checks,private sales,handgun,,
VT1002,Vermont,50,1,background checks,sales from dealer,handgun,,
VT1003,Vermont,50,2,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,Permissive,Implement
VT1004,Vermont,50,4,child access laws,negligent storage,handgun and long gun,,
VT1005,Vermont,50,5,dealer license,,handgun,,
VT1006,Vermont,50,7,minimum age,youth possession,handgun,Restrictive,Implement
VT1007,Vermont,50,7,minimum age,youth possession,long gun,,
VT1008,Vermont,50,7,minimum age,purchase and sale,handgun,,
VT1010,Vermont,50,8,open carry,not restricted,handgun,,
VT1011,Vermont,50,11,registration,,handgun,,
VT1012,Vermont,50,13,waiting period,,handgun,,
VT1013,Vermont,50,11,registration,,long gun,,
VT1014,Vermont,50,1,background checks,private sales,long gun,,
VT1015,Vermont,50,1,background checks,sales from dealer,long gun,,
VT1016,Vermont,50,5,dealer license,,long gun,,
VT1017,Vermont,50,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
VT1018,Vermont,50,10,prohibited possessor,dvro,handgun and long gun,Restrictive,Implement
VT1019,Vermont,50,10,prohibited possessor,erpo,handgun and long gun,Restrictive,Implement
VT1020,Vermont,50,10,prohibited possessor,erpo : ex parte,handgun and long gun,Restrictive,Implement
VT1021,Vermont,50,12,safety training required,,handgun,,
VT1022,Vermont,50,1,background checks,private sales,handgun,Restrictive,Implement
VT1023,Vermont,50,10,prohibited possessor,erpo,handgun and long gun,,
VT1024,Vermont,50,10,prohibited possessor,dvro,handgun and long gun,,
VT1025,Vermont,50,7,minimum age,purchase and sale,long gun,,
VT1026,Vermont,50,13,waiting period,,long gun,,
VT1027,Vermont,50,7,minimum age,purchase and sale,handgun,Restrictive,Implement
VT1028,Vermont,50,7,minimum age,purchase and sale,long gun,Restrictive,Implement
VT1029,Vermont,50,1,background checks,private sales,long gun,Restrictive,Implement
VT1030,Vermont,50,7,minimum age,purchase and sale,long gun,,
VT1031,Vermont,50,12,safety training required,,long gun,,
VT1032,Vermont,50,10,prohibited possessor,mental health,handgun and long gun,,
VT1033,Vermont,50,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
VT1034,Vermont,50,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
VT1035,Vermont,50,8,open carry,not restricted,long gun,,
VT1036,Vermont,50,6,firearm sales restrictions,,handgun and long gun,,
VT1037,Vermont,50,9,permit to purchase,,handgun,,
VT1038,Vermont,50,9,permit to purchase,,long gun,,
VT1039,Vermont,50,3,castle doctrine,,handgun and long gun,Permissive,Implement
VT1040,Vermont,50,13,waiting period,federal,handgun,Restrictive,Implement
VT1041,Vermont,50,13,waiting period,federal,handgun,Permissive,Repeal
VT1042,Vermont,50,14,firearm removal at scene of domestic violence,,handgun and long gun,,
VT1043,Vermont,50,14,firearm removal at scene of domestic violence,authorized,handgun and long gun,Restrictive,Implement
VT1044,Vermont,50,13,firearms in college/university,,handgun and long gun,,
VT1045,Vermont,50,12,local laws preempted by state,,handgun and long gun,,
VT1046,Vermont,50,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
VT1047,Vermont,50,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
VT1048,Vermont,50,11,required reporting of lost or stolen firearms,,handgun and long gun,,
VA1001,Virginia,51,1,background checks,private sales,handgun,,
VA1002,Virginia,51,1,background checks,sales from dealer,handgun,Restrictive,Implement
VA1003,Virginia,51,1,background checks,sales from dealer,handgun,,
VA1004,Virginia,51,1,background checks,sales from dealer,long gun,Restrictive,Implement
VA1005,Virginia,51,2,carrying a concealed weapon (ccw),prohibited,handgun,Restrictive,Implement
VA1006,Virginia,51,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
VA1007,Virginia,51,4,child access laws,negligent storage,handgun and long gun,,
VA1008,Virginia,51,4,child access laws,negligent storage,handgun and long gun,Restrictive,Implement
VA1009,Virginia,51,5,dealer license,,handgun,Restrictive,Implement
VA1010,Virginia,51,5,dealer license,,handgun,Permissive,Repeal
VA1011,Virginia,51,5,dealer license,,long gun,,
VA1012,Virginia,51,7,minimum age,purchase and sale,long gun,,
VA1013,Virginia,51,7,minimum age,youth possession,handgun,Restrictive,Implement
VA1014,Virginia,51,7,minimum age,youth possession,handgun,,
VA1015,Virginia,51,7,minimum age,purchase and sale,handgun,Restrictive,Implement
VA1016,Virginia,51,6,firearm sales restrictions,one gun per month,handgun,Restrictive,Implement
VA1017,Virginia,51,6,firearm sales restrictions,one gun per month,handgun,Permissive,Repeal
VA1019,Virginia,51,8,open carry,limited,handgun,Permissive,Implement
VA1020,Virginia,51,8,open carry,not restricted,long gun,,
VA1023,Virginia,51,11,registration,,handgun,,
VA1024,Virginia,51,13,waiting period,,handgun,,
VA1025,Virginia,51,1,background checks,private sales,long gun,,
VA1026,Virginia,51,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
VA1027,Virginia,51,11,registration,,long gun,,
VA1028,Virginia,51,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement
VA1029,Virginia,51,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Implement
VA1030,Virginia,51,10,prohibited possessor,mental health : committed to mh facility : outpatient,handgun and long gun,Restrictive,Implement
VA1031,Virginia,51,10,prohibited possessor,dvro,handgun and long gun,Restrictive,Implement
VA1032,Virginia,51,12,safety training required,,handgun,,
VA1033,Virginia,51,13,waiting period,,long gun,,
VA1034,Virginia,51,10,prohibited possessor,erpo,handgun and long gun,,
VA1035,Virginia,51,10,prohibited possessor,dvro,handgun and long gun,,
VA1036,Virginia,51,8,open carry,limited,long gun,Permissive,Implement
VA1037,Virginia,51,1,background checks,sales from dealer,long gun,,
VA1038,Virginia,51,12,safety training required,,long gun,,
VA1039,Virginia,51,7,minimum age,youth possession,long gun,,
VA1040,Virginia,51,10,prohibited possessor,mental health,handgun and long gun,,
VA1041,Virginia,51,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
VA1042,Virginia,51,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
VA1043,Virginia,51,6,firearm sales restrictions,,handgun and long gun,,
VA1044,Virginia,51,9,permit to purchase,,handgun,,
VA1045,Virginia,51,9,permit to purchase,,long gun,,
VA1046,Virginia,51,8,open carry,not restricted,handgun,,
VA1047,Virginia,51,3,castle doctrine,,handgun and long gun,Permissive,Implement
VA1048,Virginia,51,14,firearm removal at scene of domestic violence,,handgun and long gun,,
VA1049,Virginia,51,13,firearms in college/university,,handgun and long gun,,
VA1050,Virginia,51,13,firearms in college/university,public : CCW allowed (open areas),handgun,Permissive,Modify
VA1051,Virginia,51,13,firearms in college/university,public : CCW not allowed,handgun,Restrictive,Implement
VA1052,Virginia,51,12,local laws preempted by state,,handgun and long gun,,
VA1053,Virginia,51,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
VA1054,Virginia,51,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
VA1055,Virginia,51,11,required reporting of lost or stolen firearms,,handgun and long gun,,
WA1001,Washington,53,1,background checks,private sales,long gun,Restrictive,Implement
WA1002,Washington,53,1,background checks,private sales,handgun,,
WA1003,Washington,53,1,background checks,sales from dealer,handgun,Restrictive,Implement
WA1004,Washington,53,1,background checks,sales from dealer,long gun,,
WA1005,Washington,53,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Implement
WA1006,Washington,53,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
WA1007,Washington,53,5,dealer license,,long gun,Restrictive,Implement
